LAST SEEN   TYPE      REASON              OBJECT                         MESSAGE
4m54s       Warning   Failed              pod/swebench-run-24414-4804    Error: ImagePullBackOff
5s          Normal    BackOff             pod/swebench-run-24415-1009    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:sphinx-doc__sphinx-8721"
4m57s       Warning   Failed              pod/swebench-run-24415-1009    Error: ImagePullBackOff
3m56s       Normal    BackOff             pod/swebench-run-24416-15644   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-12708"
4m48s       Warning   Failed              pod/swebench-run-24416-15644   Error: ImagePullBackOff
8s          Normal    BackOff             pod/swebench-run-24417-23703   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-12039"
4m52s       Warning   Failed              pod/swebench-run-24417-23703   Error: ImagePullBackOff
4m6s        Normal    BackOff             pod/swebench-run-24418-20899   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-16082"
4m44s       Warning   Failed              pod/swebench-run-24418-20899   Error: ImagePullBackOff
5s          Normal    BackOff             pod/swebench-run-24419-9260    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-15629"
4m49s       Warning   Failed              pod/swebench-run-24419-9260    Error: ImagePullBackOff
3m53s       Normal    BackOff             pod/swebench-run-24420-19870   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:pydata__xarray-4695"
4m43s       Warning   Failed              pod/swebench-run-24420-19870   Error: ImagePullBackOff
3s          Normal    BackOff             pod/swebench-run-24421-4731    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-17029"
4m44s       Warning   Failed              pod/swebench-run-24421-4731    Error: ImagePullBackOff
4m4s        Normal    BackOff             pod/swebench-run-24422-7677    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:pylint-dev__pylint-7277"
4m45s       Warning   Failed              pod/swebench-run-24422-7677    Error: ImagePullBackOff
1s          Normal    BackOff             pod/swebench-run-24423-14223   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-13315"
4m46s       Warning   Failed              pod/swebench-run-24423-14223   Error: ImagePullBackOff
3m51s       Normal    BackOff             pod/swebench-run-24424-23795   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-12193"
4m28s       Warning   Failed              pod/swebench-run-24424-23795   Error: ImagePullBackOff
3m44s       Normal    BackOff             pod/swebench-run-24425-25429   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-13807"
4m41s       Warning   Failed              pod/swebench-run-24425-25429   Error: ImagePullBackOff
3m43s       Warning   FailedScheduling    pod/swebench-run-24426-28028   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24426-28028   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24427-29433   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24427-29433   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24428-17830   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24428-17830   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24429-28033   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24429-28033   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24430-18871   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24430-18871   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24431-15394   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24431-15394   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24432-1629    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24432-1629    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24433-12501   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24433-12501   Pod didn't trigger scale-up:
3m44s       Warning   FailedScheduling    pod/swebench-run-24434-22407   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24434-22407   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24435-20533   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24435-20533   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24436-18862   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24436-18862   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24437-3029    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24437-3029    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24438-15737   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24438-15737   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24439-16701   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24439-16701   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24440-13359   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24440-13359   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24441-6323    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24441-6323    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24442-27976   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24442-27976   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24443-16939   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24443-16939   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24444-12103   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24444-12103   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24445-12376   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24445-12376   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24446-17177   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24446-17177   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24447-11591   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24447-11591   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24448-22703   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24448-22703   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24449-7984    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24449-7984    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24450-2609    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24450-2609    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24451-9673    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24451-9673    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24452-27632   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24452-27632   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24453-19916   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24453-19916   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24454-25743   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24454-25743   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24455-23424   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24455-23424   Pod didn't trigger scale-up:
11s         Normal    BackOff             pod/swebench-run-24456-15416   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-14725"
11s         Warning   Failed              pod/swebench-run-24456-15416   Error: ImagePullBackOff
17s         Normal    BackOff             pod/swebench-run-24457-12909   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:scikit-learn__scikit-learn-14087"
17s         Warning   Failed              pod/swebench-run-24457-12909   Error: ImagePullBackOff
9s          Normal    BackOff             pod/swebench-run-24458-31659   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-15022"
5m5s        Warning   Failed              pod/swebench-run-24458-31659   Error: ImagePullBackOff
4s          Normal    BackOff             pod/swebench-run-24459-29513   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-13794"
4s          Warning   Failed              pod/swebench-run-24459-29513   Error: ImagePullBackOff
4s          Normal    BackOff             pod/swebench-run-24460-26292   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:psf__requests-6028"
4s          Warning   Failed              pod/swebench-run-24460-26292   Error: ImagePullBackOff
7s          Normal    BackOff             pod/swebench-run-24461-21558   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:pydata__xarray-4695"
5m1s        Warning   Failed              pod/swebench-run-24461-21558   Error: ImagePullBackOff
7s          Normal    BackOff             pod/swebench-run-24462-19461   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-11555"
4m51s       Warning   Failed              pod/swebench-run-24462-19461   Error: ImagePullBackOff
4s          Normal    BackOff             pod/swebench-run-24463-16066   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:matplotlib__matplotlib-24570"
4m50s       Warning   Failed              pod/swebench-run-24463-16066   Error: ImagePullBackOff
8s          Normal    BackOff             pod/swebench-run-24464-5735    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-14089"
4m47s       Warning   Failed              pod/swebench-run-24464-5735    Error: ImagePullBackOff
3s          Normal    BackOff             pod/swebench-run-24465-17290   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-15315"
4m54s       Warning   Failed              pod/swebench-run-24465-17290   Error: ImagePullBackOff
2s          Normal    BackOff             pod/swebench-run-24466-9929    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:sphinx-doc__sphinx-9658"
4m46s       Warning   Failed              pod/swebench-run-24466-9929    Error: ImagePullBackOff
1s          Normal    BackOff             pod/swebench-run-24467-8555    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:astropy__astropy-8707"
4m37s       Warning   Failed              pod/swebench-run-24467-8555    Error: ImagePullBackOff
3m58s       Normal    BackOff             pod/swebench-run-24468-14388   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-13363"
4m52s       Warning   Failed              pod/swebench-run-24468-14388   Error: ImagePullBackOff
4m8s        Normal    BackOff             pod/swebench-run-24469-6110    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:sphinx-doc__sphinx-8265"
4m43s       Warning   Failed              pod/swebench-run-24469-6110    Error: ImagePullBackOff
3s          Normal    BackOff             pod/swebench-run-24470-29190   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-12039"
4m44s       Warning   Failed              pod/swebench-run-24470-29190   Error: ImagePullBackOff
2s          Normal    BackOff             pod/swebench-run-24471-8809    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-11728"
4m26s       Warning   Failed              pod/swebench-run-24471-8809    Error: ImagePullBackOff
1s          Normal    BackOff             pod/swebench-run-24472-3661    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:sympy__sympy-16597"
4m34s       Warning   Failed              pod/swebench-run-24472-3661    Error: ImagePullBackOff
3m55s       Normal    BackOff             pod/swebench-run-24473-24695   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-16116"
4m32s       Warning   Failed              pod/swebench-run-24473-24695   Error: ImagePullBackOff
3m43s       Warning   FailedScheduling    pod/swebench-run-24474-4573    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24474-4573    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24475-5329    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24475-5329    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24476-21141   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24476-21141   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24477-381     0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24477-381     Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24478-9540    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24478-9540    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24479-13270   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24479-13270   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24480-32672   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24480-32672   Pod didn't trigger scale-up:
3m41s       Normal    BackOff             pod/swebench-run-24481-9468    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:sympy__sympy-22714"
4m19s       Warning   Failed              pod/swebench-run-24481-9468    Error: ImagePullBackOff
3m43s       Warning   FailedScheduling    pod/swebench-run-24482-24161   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24482-24161   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24483-32388   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24483-32388   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24484-12326   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24484-12326   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24485-16440   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24485-16440   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24486-18560   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24486-18560   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24487-802     0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24487-802     Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24488-26839   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24488-26839   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24489-6093    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24489-6093    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24490-5789    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24490-5789    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24491-25181   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24491-25181   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24492-22300   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24492-22300   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24493-7469    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24493-7469    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24494-25461   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24494-25461   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24495-32015   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24495-32015   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24496-17796   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24496-17796   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24497-24839   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24497-24839   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24498-3604    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24498-3604    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24499-18553   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24499-18553   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24500-28233   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
4m51s       Normal    NotTriggerScaleUp   pod/swebench-run-24500-28233   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24501-707     0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24501-707     Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24502-26451   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24502-26451   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24503-9119    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24503-9119    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24504-9491    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24504-9491    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24505-8099    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24505-8099    Pod didn't trigger scale-up:
17s         Normal    BackOff             pod/swebench-run-24506-10843   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-11551"
4s          Warning   Failed              pod/swebench-run-24506-10843   Error: ImagePullBackOff
9s          Normal    BackOff             pod/swebench-run-24507-15138   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-17084"
9s          Warning   Failed              pod/swebench-run-24507-15138   Error: ImagePullBackOff
